,Match,Date,Team,Opponent_Team,Stadium,Crowd,Home/Away,Results,last_3_avrg_Gls,avrg_Gls,last_3_avrg_Ast,avrg_Ast,last_3_avrg_PK,avrg_PK,last_3_avrg_PKatt,avrg_PKatt,last_3_avrg_Sh,avrg_Sh,last_3_avrg_SoT,avrg_SoT,last_3_avrg_CrdY,avrg_CrdY,last_3_avrg_CrdR,avrg_CrdR,last_3_avrg_Touches,avrg_Touches,last_3_avrg_Press,avrg_Press,last_3_avrg_Tkl,avrg_Tkl,last_3_avrg_Int,avrg_Int,last_3_avrg_Blocks,avrg_Blocks,last_3_avrg_Potential,avrg_Potential,last_3_avrg_Overall Rating,avrg_Overall Rating,last_3_avrg_Age_y,avrg_Age_y,last_3_avrg_Value,avrg_Value
0,Alavés_vs_Athletic_Club,2020-10-04,1,2,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,1,0.0,-0.16666666666666663,-0.3333333333333333,-0.41666666666666663,0.0,0.0,0.0,0.0,-4.000000000000001,-3.333333333333334,-1.0,-1.6666666666666665,0.33333333333333304,0.16666666666666652,0.0,0.0,-128.66666666666663,-122.41666666666663,19.000000000000014,30.66666666666667,5.0,7.25,3.333333333333334,1.666666666666667,2.666666666666666,3.25,-5.767592592592578,-5.820667989417984,-4.791402116402111,-5.034953703703707,0.6505291005290985,0.663425925925921,-13615396.82539682,-13736130.95238095
0,Alavés_vs_Athletic_Club,2020-10-04,2,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,0,0.0,0.16666666666666663,0.3333333333333333,0.41666666666666663,0.0,0.0,0.0,0.0,4.000000000000001,3.333333333333334,1.0,1.6666666666666665,-0.33333333333333304,-0.16666666666666652,0.0,0.0,128.66666666666663,122.41666666666663,-19.000000000000014,-30.66666666666667,-5.0,-7.25,-3.333333333333334,-1.666666666666667,-2.666666666666666,-3.25,5.767592592592578,5.820667989417984,4.791402116402111,5.034953703703707,-0.6505291005290985,-0.663425925925921,13615396.82539682,13736130.95238095
1,Alavés_vs_Atlético_Madrid,2021-01-03,1,11,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,0,1.0,-0.9821428571428572,0.33333333333333337,-1.0,0.3333333333333333,0.04464285714285715,0.6666666666666666,-0.0357142857142857,1.0,-3.2946428571428577,0.3333333333333335,-1.8839285714285712,-2.333333333333333,0.11607142857142838,0.0,0.25,-112.66666666666663,-202.7946428571429,55.33333333333333,15.160714285714278,-3.0,-0.9821428571428577,-1.333333333333334,-0.7946428571428577,2.0,-0.01785714285714235,-10.465476190476181,-10.241893424036292,-8.68452380952381,-9.25464852607712,3.135714285714279,1.878330498866216,-39723412.6984127,-40054375.17715419
1,Alavés_vs_Atlético_Madrid,2021-01-03,11,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,1,-1.0,0.9821428571428572,-0.33333333333333337,1.0,-0.3333333333333333,-0.04464285714285715,-0.6666666666666666,0.0357142857142857,-1.0,3.2946428571428577,-0.3333333333333335,1.8839285714285712,2.333333333333333,-0.11607142857142838,0.0,-0.25,112.66666666666663,202.7946428571429,-55.33333333333333,-15.160714285714278,3.0,0.9821428571428577,1.333333333333334,0.7946428571428577,-2.0,0.01785714285714235,10.465476190476181,10.241893424036292,8.68452380952381,9.25464852607712,-3.135714285714279,-1.878330498866216,39723412.6984127,40054375.17715419
2,Alavés_vs_Barcelona,2020-10-31,1,7,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,2,-0.3333333333333335,-0.6857142857142856,0.0,-0.22857142857142865,-0.3333333333333333,-0.2,0.0,-0.05714285714285716,-1.333333333333334,-1.1999999999999993,-1.333333333333333,-1.971428571428572,-0.9999999999999998,-0.3999999999999999,-0.3333333333333333,-0.05714285714285716,-236.66666666666663,-253.20000000000005,64.33333333333334,47.085714285714275,5.000000000000002,4.057142857142857,2.333333333333334,2.5999999999999996,-0.3333333333333357,-0.02857142857142847,-10.597222222222229,-10.654614512471653,-7.311507936507951,-7.834104308390039,2.718253968253965,2.1496258503401364,-23527380.95238095,-23999717.97052154
2,Alavés_vs_Barcelona,2020-10-31,7,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,2,0.3333333333333335,0.6857142857142856,0.0,0.22857142857142865,0.3333333333333333,0.2,0.0,0.05714285714285716,1.333333333333334,1.1999999999999993,1.333333333333333,1.971428571428572,0.9999999999999998,0.3999999999999999,0.3333333333333333,0.05714285714285716,236.66666666666663,253.20000000000005,-64.33333333333334,-47.085714285714275,-5.000000000000002,-4.057142857142857,-2.333333333333334,-2.5999999999999996,0.3333333333333357,0.02857142857142847,10.597222222222229,10.654614512471653,7.311507936507951,7.834104308390039,-2.718253968253965,-2.1496258503401364,23527380.95238095,23999717.97052154
3,Alavés_vs_Celta_Vigo,2021-04-04,1,15,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,0,0.0,-0.4285714285714285,0.6666666666666667,-0.42857142857142855,0.0,0.07142857142857144,0.3333333333333333,0.17857142857142855,2.666666666666667,-1.321428571428573,-0.666666666666667,-1.3928571428571432,-1.6666666666666667,-0.1071428571428572,-0.3333333333333333,0.14285714285714285,4.666666666666686,-152.5714285714285,10.666666666666657,-6.321428571428555,-1.0,-1.9285714285714288,-3.0,1.5714285714285712,2.0,-0.1785714285714306,-3.172619047619037,-3.5617205215419574,-1.2678571428571388,-1.3656179138322102,2.6362433862433825,2.4604166666666636,-4606729.497354497,-5315183.53174603
3,Alavés_vs_Celta_Vigo,2021-04-04,15,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,1,0.0,0.4285714285714285,-0.6666666666666667,0.42857142857142855,0.0,-0.07142857142857144,-0.3333333333333333,-0.17857142857142855,-2.666666666666667,1.321428571428573,0.666666666666667,1.3928571428571432,1.6666666666666667,0.1071428571428572,0.3333333333333333,-0.14285714285714285,-4.666666666666686,152.5714285714285,-10.666666666666657,6.321428571428555,1.0,1.9285714285714288,3.0,-1.5714285714285712,-2.0,0.1785714285714306,3.172619047619037,3.5617205215419574,1.2678571428571388,1.3656179138322102,-2.6362433862433825,-2.4604166666666636,4606729.497354497,5315183.53174603
4,Alavés_vs_Cádiz,2021-03-13,1,20,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,2,0.33333333333333337,0.0,0.6666666666666667,0.0,0.0,0.11538461538461539,0.3333333333333333,0.19230769230769232,3.000000000000001,0.42307692307692246,0.6666666666666665,-0.4615384615384617,-1.0000000000000002,0.7692307692307694,-0.3333333333333333,0.11538461538461539,167.66666666666669,46.076923076923094,36.66666666666667,3.8461538461538396,1.333333333333334,-1.0384615384615383,-4.0,-0.384615384615385,-2.666666666666668,-0.1923076923076934,3.033730158730151,2.580570818070811,2.8908730158730123,1.6938644688644615,1.5119047619047592,0.6782356532356495,3038988.0952380956,2377698.4126984132
4,Alavés_vs_Cádiz,2021-03-13,20,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,2,-0.33333333333333337,0.0,-0.6666666666666667,0.0,0.0,-0.11538461538461539,-0.3333333333333333,-0.19230769230769232,-3.000000000000001,-0.42307692307692246,-0.6666666666666665,0.4615384615384617,1.0000000000000002,-0.7692307692307694,0.3333333333333333,-0.11538461538461539,-167.66666666666669,-46.076923076923094,-36.66666666666667,-3.8461538461538396,-1.333333333333334,1.0384615384615383,4.0,0.384615384615385,2.666666666666668,0.1923076923076934,-3.033730158730151,-2.580570818070811,-2.8908730158730123,-1.6938644688644615,-1.5119047619047592,-0.6782356532356495,-3038988.0952380956,-2377698.4126984132
5,Alavés_vs_Eibar,2020-12-23,1,8,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,1,0.3333333333333335,0.0714285714285714,0.0,-0.07142857142857145,0.0,0.0,0.3333333333333333,-0.07142857142857142,1.666666666666666,-2.6428571428571432,0.3333333333333335,-1.0,-0.6666666666666667,0.5,-0.3333333333333333,0.07142857142857142,79.66666666666669,-69.28571428571428,-26.333333333333343,12.714285714285722,-2.333333333333332,1.1428571428571423,1.0,0.8571428571428568,5.000000000000002,1.7142857142857153,-1.432142857142864,-1.288888888888863,-0.9734126984127016,-1.8204365079365061,1.235714285714284,0.1171201814058982,-1464523.8095238097,-2080426.5873015868
5,Alavés_vs_Eibar,2020-12-23,8,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,0,-0.3333333333333335,-0.0714285714285714,0.0,0.07142857142857145,0.0,0.0,-0.3333333333333333,0.07142857142857142,-1.666666666666666,2.6428571428571432,-0.3333333333333335,1.0,0.6666666666666667,-0.5,0.3333333333333333,-0.07142857142857142,-79.66666666666669,69.28571428571428,26.333333333333343,-12.714285714285722,2.333333333333332,-1.1428571428571423,-1.0,-0.8571428571428568,-5.000000000000002,-1.7142857142857153,1.432142857142864,1.288888888888863,0.9734126984127016,1.8204365079365061,-1.235714285714284,-0.1171201814058982,1464523.8095238097,2080426.5873015868
6,Alavés_vs_Elche,2020-10-18,1,16,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,0,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,2.333333333333333,3.2,1.3333333333333333,1.0666666666666667,0.9999999999999998,0.7333333333333332,0.0,0.2,-86.0,-84.80000000000001,-11.333333333333314,-6.066666666666663,-1.3333333333333321,-1.1333333333333329,-0.9999999999999991,-2.8666666666666663,-3.666666666666666,-2.133333333333333,1.9715608465608483,1.92552910052909,2.279761904761912,2.1039682539682474,-0.3386243386243386,-0.11521164021163699,3003306.878306879,2942701.7195767197
6,Alavés_vs_Elche,2020-10-18,16,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,1,-0.3333333333333333,-0.26666666666666666,-0.3333333333333333,-0.4,0.0,0.0,0.0,0.0,-2.333333333333333,-3.2,-1.3333333333333333,-1.0666666666666667,-0.9999999999999998,-0.7333333333333332,0.0,-0.2,86.0,84.80000000000001,11.333333333333314,6.066666666666663,1.3333333333333321,1.1333333333333329,0.9999999999999991,2.8666666666666663,3.666666666666666,2.133333333333333,-1.9715608465608483,-1.92552910052909,-2.279761904761912,-2.1039682539682474,0.3386243386243386,0.11521164021163699,-3003306.878306879,-2942701.7195767197
7,Alavés_vs_Getafe,2020-09-26,1,19,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,2,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,1.5,1.5,-1.0,-1.0,0.0,0.0,-142.0,-142.0,-2.5,-2.5,7.0,7.0,6.5,6.5,-0.5,-0.5,-8.285714285714278,-8.285714285714278,-8.642857142857139,-8.642857142857139,-0.2857142857142847,-0.2857142857142847,-22383928.57142857,-22383928.57142857
7,Alavés_vs_Getafe,2020-09-26,19,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-1.5,-1.5,1.0,1.0,0.0,0.0,142.0,142.0,2.5,2.5,-7.0,-7.0,-6.5,-6.5,0.5,0.5,8.285714285714278,8.285714285714278,8.642857142857139,8.642857142857139,0.2857142857142847,0.2857142857142847,22383928.57142857,22383928.57142857
8,Alavés_vs_Granada,2021-05-16,1,18,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,1,-0.3333333333333335,-0.36111111111111116,-0.3333333333333335,-0.2777777777777778,0.0,0.055555555555555566,0.3333333333333333,0.08333333333333331,-1.0,-0.8888888888888893,-1.3333333333333335,-0.8888888888888888,-2.3333333333333335,0.02777777777777768,0.0,0.05555555555555555,44.33333333333337,26.833333333333314,51.0,11.444444444444457,-2.333333333333334,0.19444444444444464,-1.0,1.0277777777777786,0.0,-1.166666666666666,-4.096031746031741,-4.862477954144595,-2.6789682539682644,-3.1611552028218597,0.46904761904761827,0.8127755731922406,-6222301.587301585,-7261690.3659612
8,Alavés_vs_Granada,2021-05-16,18,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,0,0.3333333333333335,0.36111111111111116,0.3333333333333335,0.2777777777777778,0.0,-0.055555555555555566,-0.3333333333333333,-0.08333333333333331,1.0,0.8888888888888893,1.3333333333333335,0.8888888888888888,2.3333333333333335,-0.02777777777777768,0.0,-0.05555555555555555,-44.33333333333337,-26.833333333333314,-51.0,-11.444444444444457,2.333333333333334,-0.19444444444444464,1.0,-1.0277777777777786,0.0,1.166666666666666,4.096031746031741,4.862477954144595,2.6789682539682644,3.1611552028218597,-0.46904761904761827,-0.8127755731922406,6222301.587301585,7261690.3659612
9,Alavés_vs_Huesca,2021-04-18,1,17,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,1,-0.6666666666666667,-0.23333333333333328,-0.6666666666666667,-0.29999999999999993,0.0,0.06666666666666665,0.3333333333333333,0.13333333333333333,-3.666666666666666,-1.8000000000000007,-1.6666666666666665,-1.1333333333333333,0.0,0.8666666666666667,0.0,0.2,-8.0,-79.86666666666667,-0.6666666666666572,-2.1333333333333258,-0.33333333333333215,-2.0666666666666647,-0.666666666666667,2.866666666666667,-1.6666666666666679,0.0,0.11706349206349387,-0.7470899470899468,1.8630952380952408,1.4722619047618934,1.0119047619047592,1.2281084656084644,2127645.502645503,1609791.0052910056
9,Alavés_vs_Huesca,2021-04-18,17,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,0,0.6666666666666667,0.23333333333333328,0.6666666666666667,0.29999999999999993,0.0,-0.06666666666666665,-0.3333333333333333,-0.13333333333333333,3.666666666666666,1.8000000000000007,1.6666666666666665,1.1333333333333333,0.0,-0.8666666666666667,0.0,-0.2,8.0,79.86666666666667,0.6666666666666572,2.1333333333333258,0.33333333333333215,2.0666666666666647,0.666666666666667,-2.866666666666667,1.6666666666666679,0.0,-0.11706349206349387,0.7470899470899468,-1.8630952380952408,-1.4722619047618934,-1.0119047619047592,-1.2281084656084644,-2127645.502645503,-1609791.0052910056
10,Alavés_vs_Levante,2021-05-08,1,9,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,2,0.0,-0.2941176470588235,0.6666666666666666,-0.3529411764705882,-0.3333333333333333,0.058823529411764705,0.0,0.05882352941176469,-3.333333333333334,-1.4117647058823533,-1.3333333333333335,-0.8823529411764706,-1.3333333333333335,0.6470588235294117,0.0,0.1764705882352941,-85.66666666666663,-96.08823529411762,70.0,4.14705882352942,4.666666666666666,-0.382352941176471,2.0,-0.0588235294117645,5.0,0.8235294117647065,-0.9238095238095099,-2.1457049486461273,0.473809523809507,-0.5589285714285666,0.43571428571428683,0.7955298786181118,1167142.8571428573,-797832.0494864602
10,Alavés_vs_Levante,2021-05-08,9,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,2,0.0,0.2941176470588235,-0.6666666666666666,0.3529411764705882,0.3333333333333333,-0.058823529411764705,0.0,-0.05882352941176469,3.333333333333334,1.4117647058823533,1.3333333333333335,0.8823529411764706,1.3333333333333335,-0.6470588235294117,0.0,-0.1764705882352941,85.66666666666663,96.08823529411762,-70.0,-4.14705882352942,-4.666666666666666,0.382352941176471,-2.0,0.0588235294117645,-5.0,-0.8235294117647065,0.9238095238095099,2.1457049486461273,-0.473809523809507,0.5589285714285666,-0.43571428571428683,-0.7955298786181118,-1167142.8571428573,797832.0494864602
11,Alavés_vs_Osasuna,2021-02-27,1,13,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,0,0.0,-0.125,0.6666666666666667,-0.20833333333333331,0.0,0.08333333333333333,0.3333333333333333,0.16666666666666669,-3.0,-1.375,-1.6666666666666665,-0.9583333333333335,-2.333333333333333,0.4583333333333335,0.0,0.04166666666666666,32.00000000000006,-14.958333333333314,26.0,7.208333333333343,1.0,0.6666666666666679,-2.333333333333334,1.875,2.333333333333334,1.583333333333334,-1.4907407407407334,-1.748412698412693,-1.2665343915343925,-1.7453538359788467,0.7427248677248635,0.41803902116402014,-2595734.126984126,-2954771.4120370373
11,Alavés_vs_Osasuna,2021-02-27,13,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,1,0.0,0.125,-0.6666666666666667,0.20833333333333331,0.0,-0.08333333333333333,-0.3333333333333333,-0.16666666666666669,3.0,1.375,1.6666666666666665,0.9583333333333335,2.333333333333333,-0.4583333333333335,0.0,-0.04166666666666666,-32.00000000000006,14.958333333333314,-26.0,-7.208333333333343,-1.0,-0.6666666666666679,2.333333333333334,-1.875,-2.333333333333334,-1.583333333333334,1.4907407407407334,1.748412698412693,1.2665343915343925,1.7453538359788467,-0.7427248677248635,-0.41803902116402014,2595734.126984126,2954771.4120370373
12,Alavés_vs_Real_Betis,2020-09-13,1,12,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Alavés_vs_Real_Betis,2020-09-13,12,1,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Alavés_vs_Real_Madrid,2021-01-23,1,10,"Estadio de Mendizorroza, Vitoria-Gasteiz",0.0,1,0,1.0,-0.6578947368421053,0.33333333333333337,-0.692982456140351,0.3333333333333333,0.09941520467836257,0.6666666666666666,0.2046783625730994,-1.0,-5.400584795321636,0.3333333333333335,-2.058479532163742,-0.6666666666666667,0.801169590643275,0.0,0.3157894736842105,-131.0,-265.5994152046784,52.0,12.845029239766077,-1.3333333333333321,-0.6491228070175428,-2.333333333333334,-1.2953216374269,3.3333333333333357,0.6228070175438596,-8.0138888888889,-9.673520607073243,-7.3472222222222285,-9.955646059593434,2.198412698412696,0.5010164299637907,-28691666.666666668,-36291892.23057644
